series_name,tweet,sentiment
Hazbin Hotel,Adam from hazbin hotel has consumed my life for the past 2 years that i barely remember things from ages 15-Now bc i just spend 24/7 thinking about him and honestly i think thats beautiful,Positive
Hazbin Hotel,"I genuinely could never hate this man. Even if he ragebaited me because he's so goofy and adorable, while doing it I'd admit defeat and give him anything he wanted",Positive
Hazbin Hotel,holy fuck guys the hazbin soundtrack is so good im trying to study but instead im CHA CHA CHA! STOP IT,Positive
Hazbin Hotel,I don’t understand ppl who say all Hazbin/Helluva characters look alike,Neutral
Hazbin Hotel,I like Helluva Boss and Hazbin Hotel but jesus those shows hate women lmao.,Negative
Hazbin Hotel,hazbin fandom is never beating the worst fandom allegations bc tell me why I had mfs in my comment section being rude af about my redesigns.,Negative
Hazbin Hotel,not wanting to be associated in any way with hasbeen hotel is very valid wish and very valid crash out.,Neutral
Hazbin Hotel,Gravity has to be Hazbin’s strongest song in my opinion,Positive
Hazbin Hotel,"as much as hazbin might divert from the original story, i dont think the rib thing is something they would get rid of since thats how eve is made",Neutral
Hazbin Hotel,I want to make this lonely woman smile.,Positive
Hazbin Hotel,non-knowers it is your time to learn i have a somewhat excessive obsession with this show in general,Positive
Hazbin Hotel,This series has no depth!,Negative
Hazbin Hotel,my bfs currently hyperfixation is angel dust and he listens to me rant about how much i hate hazbin hotel and angel dust,Neutral
Hazbin Hotel,Jesus in Hazbin would destroy its premise and render it pointless. I'm all for it.,Positive
Hazbin Hotel,Hazbin hotel is children cartoon made for adults ,Negative
Hazbin Hotel,its undeniable the progress Hazbin Hotel and Helluva Boss are making for 2D Animation. Its reviving a dying medium and I think it deserves more praise for the aspiring animators of the next generation,Positive
Hazbin Hotel,"I so so so so so very much love the quality of Sera's voice here, the power, the slight tremble, the strength.",Positive
Hazbin Hotel,hazbin hotel so trash i stopped seeing praise for the new season the moment episodes 3 & 4 dropped,Negative
Hazbin Hotel,Seeing that one moot who used to be a Hellaverse hater but saw the light thanks to Hazbin Hotel S2 and now likes the shows and reposts praise posts and art about them,Positive
Hazbin Hotel,Sera genuinely has one of my favorite voices in the whole show.,Positive
Hazbin Hotel,"Never seen Hazbin, still automatically better than the prequels. The sequels are better too.",Negative
Hazbin Hotel,"Hazbin Hotel? I have met some of the most amazing people in here, I doubt if I do get a main interest I'll ever dislike or not love this franchise anymore.",Positive
Hazbin Hotel,"I know i did watch the entirety of hazbin hotel, i'm just saying the line is funny",Positive
Hazbin Hotel,Im being so seriously i cannot have other interests bc of Adam he is a tapeworm thats too hard to pull out of my butt HEEELPPPP HELLLLPPP,Positive
Hazbin Hotel,hazbin hotel could keep the same exact plots and characters and be a good show if they had better writers,Negative
Hazbin Hotel,every day i praise God bc i wasn't made a hazbin hotel fan,Negative
The Amazing Digital Circus,"If Jax represents Goose laying her worst case scenario gently to rest, I like to think it means something that she voices the moon.",Neutral
The Amazing Digital Circus,"How it feels hating the tadc fandom, 90% of the cast, the entire plot line atp, but staying cause Jesterdoll",Negative
The Amazing Digital Circus,I heard everyone hate Jax from the amazing digital circus now? As a chaos lover I still found Jax and his violent tendency way too relatable though.,Positive
The Amazing Digital Circus,"""Oh, it seems I have been impaled by candy spikes"" I'm srry but it looks funny",Positive
The Amazing Digital Circus,Pomni and Mokey got the same rage lol.,Positive
The Amazing Digital Circus,"I know this joke has already been made somewhere before, but Episode 3 means this is a canonical line that could be said by Kinger and I won't get over that.",Neutral
The Amazing Digital Circus,"I’m telling ya’ll right now, if they release any spooky themed merch for the new episode, my wallet is COOKED.",Positive
The Amazing Digital Circus,"I 1,000% believe Ragatha and Gangle teamed up to hogtie Jax. You CANNOT convince me otherwise.",Positive
The Amazing Digital Circus,Everyone in the comments ALREADY bitching about this episode being too scary for little kids is honestly HILARIOUS  - More for us,Positive
The Amazing Digital Circus,Gangle's new mask is adorable,Positive
The Amazing Digital Circus,"Ok, TADC is good, but this is just plain stupid ",Negative
The Amazing Digital Circus,Before Jax came this was probably the most stable group ,Neutral
The Amazing Digital Circus,"So, yeah, I feel really sorry for Gangle after this episode. Her life was miserable, and she's Jax's punching bag in the circus. The mask seemed to just make things worse in the end. Still, this episode was really good and a great insight into her character. ",Positive
The Amazing Digital Circus,I like that Gangle's situation with her masks isn't as simple as her happy mask makes her happy and her sad mask makes her sad,Positive
The Amazing Digital Circus,It would be nice to have a series about their evil versions. ,Neutral
The Amazing Digital Circus,I don’t really dislike any of them because I don’t necessarily think I need to relate to them for them to be a relatable character. If they have traits that real people have then they are by all means relatable because there are people in real life who act the same or similarly ,Neutral
The Amazing Digital Circus,"We got the corruption, the downfall, then we speedrun the self reflectance and then Usain Bolted the forgiveness and redemption in a montage. ",Negative
The Amazing Digital Circus,Just interesting to see what might be hints in the flashbacks. There are several moments where you can see him on the background of scenes just staring at… nothing. ,Neutral
The Amazing Digital Circus,"If anyone like me cares about the crappy orange fish NPC, I'd like to point out this tiny detail I love that shows Pomni feeling pity for him ",Positive
The Amazing Digital Circus,"I mean, how can you not feel bad for him? Like, dude they took everything! Those were his entire life savings! ",Neutral
The Amazing Digital Circus,Jax was a necessary evil throughout the show and caused alot of good accidently. ,Negative
The Amazing Digital Circus,I loved Gangle in ep 4. ,Positive
The Amazing Digital Circus,I literally got off of my shift at a fast food joint to watch an episode about working in a fast food joint…,Neutral
The Amazing Digital Circus,"I WAS MESMERIZED BY THIS SCENE, the visuals were stunning",Positive
The Amazing Digital Circus,"The next episode is gonna be the BEST for the people who like ships, I can feel it in my heart and my soul",Positive
The Amazing Digital Circus,episode4 was crazy relatable for characters like gangle and zooble so many settle details in every characters backstory. ,Positive
The Amazing Digital Circus,"Can I just say, real quick, how GOOD Ragatha’s mouth animations were in this episode",Positive
The Amazing Digital Circus,BRO POMNI LOOKS SO HAPPY HERE.,Positive
The Amazing Digital Circus,"Super expressive, teeth and tongue show up a lot more so there’s more detail to it, overall her facial expressions and body language were SUPER solid.",Positive
The Amazing Digital Circus,"""I'm gonna get mad and Imma kill Ragatha"", why is this so funny",Positive
The Amazing Digital Circus,I’m in love with the anime style,Positive
The Amazing Digital Circus,#tadcepisode5 made my brain spin and I love it. Great work @glitch_prod for yet another amazing banger!!!!!,Positive
The Amazing Digital Circus,"lol, I loved ep 5 of TADC so much. The highlight of that is Jax in a maid outfit lmao",Positive
The Amazing Digital Circus,Spoilers? She’s so cutie,Positive
The Amazing Digital Circus,THANKS FOR THIS,Positive
The Amazing Digital Circus,You can't tell me he didn't find her cute in this scene (I'm 100% not delusional),Neutral
The Amazing Digital Circus,He’s so father coded,Neutral
The Amazing Digital Circus,I can't wait for Episode 6.,Positive
The Amazing Digital Circus,"holy moly the expressions, the emotion in his voice. so good this one was an emotional rollercoaster",Positive
The Amazing Digital Circus,AWWWWW LOOK HOW CUTE HE ISSS,Positive
The Amazing Digital Circus,Man everyone is just talking about Ribbit. WHAT ABOUT KAUFMO! HE WAS ALSO JAX’S FRIEND! LITERALLY POMNI IS A COMBINATION OF THEM BOTH!!! I hate this fandom sometimes.,Negative
The Amazing Digital Circus,what do you mean this wasn't the episode,Negative
The Amazing Digital Circus,WHAT'S GOING ON HERE. JAX FINALLY GETTING CONSEQUENCES AND POMNI ANGRY!?!?!? my funnybunny part died there,Negative
The Amazing Digital Circus,Zooble was really cool in this series,Positive
The Amazing Digital Circus,Bro casually outed himself,Negative
The Amazing Digital Circus,I’VE BEEN REWATCHING THIS SCENE FOR AN HOUR THIS IS A PURE MASTERPIECE,Positive
The Amazing Digital Circus,Okay so Caine was just lying. He CAN mess with people's minds.,Negative
The Amazing Digital Circus,Let me be honest: one of the best Jax scenes ever,Positive
The Amazing Digital Circus,Bro me and my friends just finished watching TADC episode 7 AND I’M SO FUCKING PISSED AHHHHHHH,Negative
The Amazing Digital Circus,FUCK YOU CAINE I'M ACTUALLY PISSED,Negative
The Amazing Digital Circus,this is NOT a beach episode,Negative
The Amazing Digital Circus,They look so dumb when they do this,Negative
The Amazing Digital Circus,I HATE YOU ABEL,Negative
The Amazing Digital Circus,I HATE YOU CAINE,Negative
The Amazing Digital Circus,"I have to agree, Gangle looks mighty cute in that getup.",Positive
The Amazing Digital Circus,This scene. The voice. His expressions. It gave me SO MUCH !!TOO MUCH!! VISUAL SATISFACTION.,Positive
The Amazing Digital Circus,This particular scene was an anxiety rollercoaster for me…,Negative
The Amazing Digital Circus,I was promised a FUN BEACH episode.,Negative
The Amazing Digital Circus,Peeled jax is now canon lmao,Neutral
The Amazing Digital Circus,"""Where's Kinger?"" THAT WAS SO GOOD IT SENT CHILLS DOWN MY SPINE",Positive
The Amazing Digital Circus,ragatha i love you,Positive
The Amazing Digital Circus,KINGER IS MY GOAT,Positive
The Amazing Digital Circus,What the fuck was that episode of TADC chat,Negative
The Amazing Digital Circus,This scene was amazing,Positive
The Amazing Digital Circus,"Today's episode was great, I loved it!",Positive
The Amazing Digital Circus,1 hour of trauma I'm scared and excited.,Neutral
The Amazing Digital Circus,WE FINALLY GOT RIBBIT,Positive
The Amazing Digital Circus,"Wow, I loved TADC episode 9.",Positive
The Amazing Digital Circus,I adore Caine's redemption,Positive
The Amazing Digital Circus,I’m sorry I’m still not over this but kinger was done so dirty in the finale,Negative
The Amazing Digital Circus,my feelings are HURT,Negative
The Amazing Digital Circus,wow look at her…. Shes so..amazing…and digital..,Positive
The Amazing Digital Circus,"Still hurts, Why Jax....why?",Negative
The Amazing Digital Circus,So I watched #TADCEp5 and my goodness! Glitch and Gooseworx were cooking!,Positive
The Amazing Digital Circus,HELP HE LOOKS SO PISSED OFF,Negative
